URL,Labels,source,text,is_mock
https://bsky.app/profile/zohrankmamdani.bsky.social/post/3m4xoo3pf4s2r,[],real-world,"We’re hiring!

Our new resume portal is live, and we’re looking for top talent in NYC to help build this administration and deliver on our affordability agenda.

Could that be you? Apply using the lin",
https://bsky.app/profile/charlesornstein.bsky.social/post/3m4svafd5us2e,[],real-world,ProPublica is hiring a reporter to join our amazing investigative unit with The Texas Tribune. APPLY HERE ➡️ http://propub.li/4qvyjzw,
https://bsky.app/profile/oliviamesser.bsky.social/post/3m4vrcfp4z22r,[],real-world,"Are you a social media manager who is passionate about the culture and lives of Texans? 

Our incredible social media manager was recruited for an exciting, glossy new opportunity, which means ...we’r",
https://bsky.app/profile/betoorourke.bsky.social/post/3m4vx6zg65s27,[],real-world,"Calling all those who want to lead the fight in Texas to reach, register, and turn out the voters who will power Democratic victories up and down the ballot: we are hiring full-time organizers.

For d",
https://bsky.app/profile/starsandstripes.bsky.social/post/3m4xyigm4nk2b,[],real-world,"Stars and Stripes, the editorially independent daily newspaper and website covering the U.S. military worldwide, is hiring a U.S. Bureau Chief at its headquarters in Washington, D.C. 🗞️

Interested? A",
https://bsky.app/profile/remotejobshub-app.bsky.social/post/3m4njw64d6l2v,"[""suspicious-recruitment""]",real-world,"🚀 New Remote Job Alert!
💼 Lettings Administrator
🏢 Harris & Daughter Ltd.
🌍 UK 
📁 Administrative
💰 £20,000 - £25,000
Apply now: www.remotejobshub.app/job/harris-d...",
https://bsky.app/profile/bluesky.awakari.com/post/3lzgcnku7z22q,[],real-world,Persistent Systems Hiring Freshers as Associate Software Engineers in Partnership with Revature – Apply Now Role : Associate Software Engineer Location : WORK FROM HOME/GOA JOB DESCRIPTION: Persistent,
https://bsky.app/profile/juniorremotejobs.bsky.social/post/3le3doedry62y,"[""suspicious-recruitment""]",real-world,"🚀 New Remote Job Alert!
💼 Work From Home Booking Coordinator
🏢 Away From Home Travels 2
🌍 UK 
📁 Customer Service
💰 £25,000 - £30,000

Apply now: juniorremotejobs.com/job/away-fro...",
https://bsky.app/profile/abhayaarya.bsky.social/post/3lk775ccmfs2k,"[""suspicious-recruitment""]",real-world,"Now Hiring: Live Chat Assistant for a Shoe Company – Work from Home! 💻✨
📌 Apply now: bit.ly/NewOnline-Job

Earn $25 - $35 per hour working online from anywhere as a Live Chat Assistant! 🏡🌍",
https://bsky.app/profile/charityjobfinder.bsky.social/post/3lqnehm4lsa2l,[],real-world,"NEW JOB! 🌸 

Age Connects Morgannwg is hiring a Connected Communities Programme Manager in Hybrid. Approximately 20% working from home, 80% field and office-based work.

http://www.charityjobfinder.co",
